source,board_publisher,subject,level,response_files,commentary_files,medium,total_scores,criterion_level,explains_why,visual_content,est_usable_records,licence,access,duplicate_risk,notes
cambridge-international-alevel,Cambridge International,unverified,A Level,"3 HTML",none,n/a,no,no,no,n/a,0,board exemplar unverified,"School Support Hub gated",overlaps cambridge-ecr,"Landing pages only; no payload"
DREsS_New,DREsS (research),english essay,undergraduate,"1 TSV inline","scores only",typed,yes,no,"trait scores, no reasons",none,12254,research dataset unverified,open,"DREsS_Std overlaps ASAP++","Analytic traits: content, organisation, language. Largest typed trait-scored set"
DREsS_Std,DREsS (research),english essay,"school and undergraduate","1 TSV inline","scores only",typed,yes,no,"trait scores, no reasons",none,6508,research dataset unverified,open,"built from ASAP++, overlaps asap-2","Check overlap before ingesting alongside asap-2"
DREsS_CASE_content,DREsS (research),english essay,undergraduate,"1 TSV inline","scores only",typed,yes,no,"single trait score, no reasons",none,9803,research dataset unverified,open,"overlaps DREsS_New/Std","Three CASE files split by trait"
asap-2,Hewlett/ASAP,english essay,US state assessment,"CSV and XML","rubric attached",typed,yes,no,holistic rubric score,none,17307,CC BY 4.0 verified,open,"asap-2.0 zip may duplicate","Already ingested; 71% of the current corpus"
asap-2.0,Hewlett/ASAP,english essay,US state assessment,"1 ZIP",unverified,typed,yes,no,unverified,none,unverified,CC BY 4.0 verified,open,"likely duplicates asap-2","Unpack and compare before ingesting"
jorgpt-2026,JorGPT (research),computer science,undergraduate,"2 CSV","teacher and model grades",typed,yes,no,"grades only, model rationales not examiner",none,unverified,CC BY 4.0 verified,open,"same project as jorgpt","Carries DeepSeek/Qwen/Gemini grades; model output not examiner reasoning"
jorgpt,JorGPT (research),computer science,undergraduate,"2 CSV","grades",typed,yes,no,grades only,none,3031,CC BY 4.0 verified,open,"superseded by jorgpt-2026","Already ingested"
drawedumath,Heffernan WPI / AI2,maths,"Grades 2 to high school","images plus 2 CSV","teacher descriptions",handwritten,no,no,"descriptions of the work, not marks","the whole point",unverified,CC BY-NC 4.0,open,none,"NON-COMMERCIAL licence. Vision stress-testing, not marking"
edu-circuit-hw,research,STEM,undergraduate,"29 PNG plus CSV/XLSX","LLM-as-a-judge outputs",handwritten,yes,no,model judgements not examiner,"circuits, diagrams",unverified,research dataset unverified,open,none,"Substantially a study of model grading; treat with care"
"A Dataset of Digitized Student Examination Papers,",Mendeley (research),data science,undergraduate,"100 PDF","Teacher_manual_marks_Anonymized.csv plus answerkey",handwritten,yes,no,"per-question marks, no reasons",some,544,CC BY 4.0 verified,open,"DUPLICATES handwritten-university-data-science","Holds the real payload. Student_MCQ.csv contains REAL NAMES; must never be read"
handwritten-university-data-science,Mendeley (research),data science,undergraduate,"4 files only","see duplicate",handwritten,yes,no,"per-question marks, no reasons",some,544,CC BY 4.0 verified,open,"DUPLICATE of the folder above","Source-id folder; the payload landed in the paper-named folder"
medly-gcse,Medly,"english, maths",GCSE,"246 PNG plus JSON","two markers per answer",handwritten,yes,no,"totals from two markers, no reasons",yes,480,CC BY 4.0 verified,open,none,"Already ingested. The only double-marked source; supplied the human ceiling"
mohler,research,computer science,undergraduate,"273 files","two rater scores",typed,yes,no,"two rater totals, no reasons",none,2273,research dataset unverified,open,none,"Already ingested; double-marked"
graduate-neural-networks,research,computer science,postgraduate,"41 IPYNB","scores",typed,yes,no,scores only,none,607,MPL 2.0 unverified,open,none,"Already ingested"
university-model-solutions,institutional,unverified,undergraduate,"8 PDF",unverified,unverified,unverified,no,model solutions not marked work,unverified,0,institutional,open,none,"Model solutions; no candidate work to mark"
engsaf,research,engineering,undergraduate,none,none,n/a,no,no,no,n/a,0,"access request required",gated,none,"No payload; access request only"
